strain,StrRt0.0001,ref_StrRt0.0001
0.0,1067.4538450093387,1.8395426311703835
0.00011,1083.997263440276,1.868051895164587
0.0002,1094.1693741576644,1.885581488037483
0.0003,1103.7197879056785,1.9020397108608165
0.0004,1112.096404039244,1.9164751288928799
0.0005,1119.6499347254564,1.929492124220692
0.0006,1126.5822414871318,1.9414385646968524
0.0007,1133.0216898851154,1.9525356626226265
0.0008,1139.0557897527565,1.962934223646282
0.0009,1144.747359990457,1.9727425035447528
0.001,1150.143336047641,1.9820413861525323
0.002,1193.253688547015,2.0563334331933927
0.003,1224.4033452968447,2.110013619747159
0.004,1248.4788707510932,2.151502959682536
0.005,1267.7577008811122,2.1847261571716525
0.01,1326.855454124062,2.2865692832281637
0.011,1334.6762940634028,2.300046932446666
0.012,1341.770793573039,2.3122728795972702
0.013,1348.2775775836851,2.3234860169477627
0.014,1354.3027599056377,2.333869210369778
0.015,1359.928268383263,2.3435636460730023
0.016,1365.2179044294069,2.352679272997529
0.017,1370.221793684021,2.3613024726314555
0.018,1374.9796787632345,2.3695017334035655
0.019,1379.5233702328878,2.377331874444689
0.02,1383.8785808310618,2.384837206502391
0.021,1388.0663049615127,2.3920539092212594
0.022,1392.103861149856,2.3990118276070778
0.023,1396.0056835487394,2.405735836027263
0.024,1399.7839258150243,2.4122468788720806
0.025,1403.4489241568426,2.4185627685233886
0.026,1407.0095542758677,2.424698800473059
0.027,1410.4735080650269,2.4306682301559945
0.028,1413.8475093840568,2.4364826447960266
0.029,1417.1374833960374,2.4421522552234713
0.03,1420.3486903544376,2.4476861264302743
0.031,1423.4858320537169,2.4530923610162727
0.032,1426.5531371576708,2.458378246235488
0.033,1429.554430122918,2.463550372771934
0.034,1432.4931873112362,2.468614731437973
0.035,1435.3725830385983,2.473576792530597
0.036,1438.195527670381,2.4784415714808774
0.037,1440.9646993890367,2.483213683599181
0.038,1443.6825708937597,2.487897390086685
0.039,1446.3514320123732,2.492496637002433
0.04,1448.9734089923177,2.497015088507484
0.041,1451.5504810739776,2.501456155425718
0.042,1454.084494823673,2.5058230199438705
0.043,1456.577176606301,2.5101186571056306
0.044,1459.0301435020413,2.514345853624394
0.045,1461.4449129126144,2.518507224437721
0.046,1463.822911056367,2.5226052273469133
0.047,1466.1654805150476,2.5266421760223694
0.048,1468.473886966288,2.5306202516056637
0.049,1470.7493252127913,2.534541513099646
0.05,1472.9929246008037,2.5384079067060883
0.051,1475.2057539055447,2.5422212742447465
0.052,1477.3888257492113,2.5459833607669013
0.053,1479.543100607283,2.549695821459426
0.054,1481.6694904507576,2.5533602279214453
0.055,1483.7688620652184,2.5569780738840833
0.056,1485.8420400820582,2.560550780434172
0.057,1487.8898097524957,2.5640797007947094
0.058,1489.9129194910915,2.5675661247081014
0.059,1491.9120832121198,2.5710112824624294
0.06,1493.8879824793216,2.574416348596117
0.061,1495.8412684871273,2.577782445312173
0.062,1497.7725638893464,2.5811106456295687
0.063,1499.6824644895296,2.584401976296239
0.064,1501.5715408056149,2.5876574204854377
0.065,1503.4403395201427,2.590877920294889
0.066,1505.2893848261049,2.5940643790660904
0.067,1507.1191796774635,2.5972176635393325
0.068,1508.9302069524592,2.600338605858424
0.069,1510.7229305370015,2.603428005437702
0.07,1512.4977963347442,2.6064866307026895
0.071,1514.2552332097914,2.6095152207146652
0.072,1515.995653867421,2.6125144866884096
0.073,1517.7194556777222,2.615485113411582
0.074,1519.4270214465705,2.618427760573339
0.075,1521.118720137988,2.6213430640091806
0.076,1522.7949075515537,2.6242316368683265
0.077,1524.4559269582232,2.6270940707094295
0.078,1526.1021096976149,2.6299309365298726
0.079,1527.7337757395626,2.6327427857334977
