PEEQ,m0,m1,R_squared
0.0,-0.0009794992502951847,-0.6253458389209418,-0.45562502791682125
0.00011,999.9999997253248,2.214582891833115,-0.7439287188219519
0.0002,999.9999999999999,1.9982353019008012,0.3943155888047011
0.0003,999.9999999999989,1.923780136964872,0.5821602313380231
0.0004,0.0309665271182786,0.09920557939557517,-0.16115407125644454
0.0005,-1.7382973839134508,4.407886154405265,-9.648141984476469
0.0006,-2.4507339691264334,4.326007233610944,-17.140206935796595
0.0007,-3.969158497986997,4.606093291777595,-25.66806575698784
0.0008,-3.924733681450703,4.678170021785325,-34.42985655666589
0.0009,-3.8747057249113204,4.743664940056187,-42.948984174363034
0.001,-3.891629302371329,4.807678262097046,-51.049859927164746
0.002,-1.7442490487677236,4.046125301019957,-119.51288826006592
0.003,-1.7229547391469235,4.064675793711404,-181.8038893975902
0.004,-1.7163230740067474,4.078378927992618,-238.76234780406315
0.005,-1.702790650923994,4.0880255263945084,-290.1576326400149
0.01,-1.6769330246071976,4.1176093860360075,-495.24715827356664
0.011,-1.672346684585236,4.121272482436908,-531.3070944647801
0.012,-1.707169009973393,4.127177928576566,-566.7729653586724
0.013,-1.6646608103082274,4.127411596707022,-601.8467856875587
0.014,-1.6692609252598467,4.1308422778399425,-636.6553017819863
0.015,-1.6994110698970002,4.135481853720142,-671.2708696553419
0.016,-1.663828945987263,4.135602398308005,-705.7274423710953
0.017,-1.6631416719932335,4.137881712700198,-740.0325890538155
0.018,-1.6514912407698932,4.138766684470196,-774.176418873575
0.019,-1.7002018191541717,4.144658893651206,-808.1381349112312
0.02,-1.646137655681957,4.1421686065870125,-841.8907877964039
0.021,-1.6425941347571413,4.14343213984217,-875.4046672716387
0.022,-1.6492290733906536,4.145846671264523,-908.6496664058332
0.023,-1.6477293168558016,4.147304884641998,-941.5968745830027
0.024,-1.6846277224036699,4.151615285237713,-974.219595675472
0.025,-1.6463837840782598,4.150166246779221,-1006.4939425000109
0.026,-1.6455294310178572,4.151473383381906,-1038.3991243159187
0.027,-1.6381892383784729,4.152146609242611,-1069.9175166048935
0.028,-1.6401479733160198,4.153544559001461,-1101.034581895342
0.029,-1.6413913361114227,4.154900403354332,-1131.738693189977
0.03,-1.6396042787839231,4.155902979532206,-1162.0208988792137
0.031,-1.6843729113853438,4.160686709537708,-1191.8746573946557
0.032,-1.6338956407693035,4.157324274128028,-1221.2955619002767
0.033,-1.638451198570966,4.159082981431797,-1250.2810693021202
0.034,-1.632257596541698,4.159244059414883,-1278.8302423942682
0.035,-1.6330879916847447,4.1603233944651805,-1306.943511458625
0.036,-1.6803468587333519,3.8865664153226636,-1334.6224603910807
0.037,-1.6797395000157025,3.8874431583837246,-1361.8696232554396
0.038,-1.679144137290668,3.888292546168108,-1388.6883302197375
0.039,-1.6773399820737793,3.8889959285425424,-1415.0825495133176
0.04,-1.6867180459604934,3.8906450723458263,-1441.056763037757
0.041,-1.6763662643667718,3.890593772384738,-1466.6158581680127
0.042,-1.6754910649525654,3.891321451752727,-1491.7650364332237
0.043,-1.6673549138568684,3.891088753170867,-1516.5097368028894
0.044,-1.6665034799342404,3.8917787648229503,-1540.8555720490979
0.045,-1.663077408011333,3.8921936281444047,-1564.8082760741565
0.046,-1.681400434772463,3.89485802350331,-1588.3736608558836
0.047,-1.681009036749663,3.895531424528007,-1611.557581359555
0.048,-1.6806326081867493,3.896197794843528,-1634.365907185735
0.049,-1.6609540571752952,3.8947795365356916,-1656.8044999522988
0.05,-1.6809532877441242,3.8975961334582037,-1678.8791952137494
0.051,-1.6604734652420607,3.896033866441274,-1700.5957883948936
0.052,-1.6784994442369676,3.8986877290515416,-1721.9600237100715
0.053,-1.678235665347633,3.8992772001239326,-1742.9775858180014
0.054,-1.6583634020219558,3.8977231603726263,-1763.6540933693977
0.055,-1.658055795212855,3.8983008687754594,-1783.9950943473732
0.056,-1.677377854573796,3.9010374253100824,-1804.0060626816226
0.057,-1.6563221117821298,3.899308770644989,-1823.6923959361
0.058,-1.6767754913523296,3.902120242918399,-1843.0594137773235
0.059,-1.6755567219861391,3.902582184019054,-1862.1123571556698
0.06,-1.6496783398726613,3.900297370916344,-1880.8563879385117
0.061,-1.6753777431319015,3.903662378691025,-1899.296588856866
0.062,-1.656330906515361,3.9019929051353888,-1917.4379639301505
0.063,-1.674118235317026,3.904582061366534,-1935.2854388564926
0.064,-1.6726973806188792,3.904976030985987,-1952.843861826871
0.065,-1.6765277106070027,3.9058666780051987,-1970.1180041529221
0.066,-1.6715833921038237,3.90589143218215,-1987.1125612506776
0.067,-1.6718292329579514,3.9063912494609734,-2003.8321534894148
0.068,-1.6758343132524465,3.907261184877774,-2020.2813271287987
0.069,-1.6474171447358017,3.9045323756247257,-2036.4645553139994
0.07,-1.6493226088366173,3.905276749846625,-2052.3862390415134
0.071,-1.6691613547280197,3.908038481781846,-2068.0507081015244
0.072,-1.6684482321800378,3.9084223726086327,-2083.462222015846
0.073,-1.6672837759901447,3.908754681132033,-2098.6249710764664
0.074,-1.6721073691548296,3.9096871454041766,-2113.5430772084974
0.075,-1.6716817116136569,3.9100668908821476,-2128.2205949233985
0.076,-1.6439860059391023,3.907329083660793,-2142.661512295661
0.077,-1.6699793628279085,3.910771074985257,-2156.8697517330456
0.078,-1.6448882035034724,3.9082663079096958,-2170.849171078553
0.079,-1.648266426973873,3.9090142042250906,-2184.6035643088685
