strain,m_estimated
0.0,0.08188695020276103
0.00011,0.025441878219603704
0.0002,0.017578460509954125
0.0003,0.016876699697824713
0.0004,0.017181519268510838
0.0005,0.017224671411193184
0.0006,0.016957720265094997
0.0007,0.016505403563983764
0.0008,0.01596988449960883
0.0009,0.015412437649668747
0.001,0.01486546743058146
0.002,0.011008484973374678
0.003,0.009062423561654199
0.004,0.007950335345763665
0.005,0.0072602424310881045
0.01,0.00607910697904519
0.011,0.006023005851435882
0.012,0.005992031804250261
0.013,0.005979926417500946
0.014,0.00598217160086202
0.015,0.005995440602573195
0.016,0.006017242492865607
0.017,0.006045685269370834
0.018,0.006079314049695205
0.019,0.006116998133629776
0.02,0.005727953153089489
0.021,0.005603669815882937
0.022,0.005487471420746236
0.023,0.005378482766985566
0.024,0.005275957567442719
0.025,0.005179255200500435
0.026,0.005087822344559971
0.027,0.005001178333533141
0.028,0.0049189033788340645
0.029,0.004840629021541221
0.03,0.004766030335573966
0.031,0.004694819517340096
0.032,0.004626740581851953
0.033,0.004561564948323689
0.034,0.004499087745700997
0.035,0.004439124704613274
0.036,0.004381509529855842
0.037,0.004326091668840691
0.038,0.004272734408061775
0.039,0.004221313242632261
0.04,0.004171714474225791
0.041,0.004123834000909609
0.042,0.0040775762688731775
0.043,0.004032853361293882
0.044,0.003989584203807864
0.045,0.003947693869490833
0.046,0.0039071129690509045
0.047,0.003867777114235249
0.048,0.0038296264443380356
0.049,0.003792605207262259
0.05,0.0037566613878813396
0.051,0.003721746377528365
0.052,0.003687814679342211
0.053,0.003654823644956856
0.054,0.0036227332386585967
0.055,0.0035915058256730005
0.056,0.003561105981700132
0.057,0.003531500321203181
0.058,0.0035026573422858127
0.059,0.0034745472862756184
0.06,0.0034471420103715684
0.061,0.003420414871921118
0.062,0.0033943406230713506
0.063,0.003368895314691063
0.064,0.003344056208595205
0.065,0.0033198016972173098
0.066,0.003296111229976086
0.067,0.0032729652456693877
0.068,0.0032503451103045636
0.069,0.0032282330598411226
0.07,0.003206612147378279
0.071,0.0031854661943733474
0.072,0.003164779745518704
0.073,0.003144538026946762
0.074,0.003124726907466152
0.075,0.003105332862563301
0.076,0.0030863429409292782
0.077,0.0030677447332985467
0.078,0.0030495263434052004
0.079,0.003031676360881484
