strain,m_estimated
0.0,-0.025108171525391094
0.00011,0.0036122215973115037
0.0002,0.011853816418526408
0.0003,0.017901775618058755
0.0004,0.022397582714354162
0.0005,0.026006189505464062
0.0006,0.029039767414355468
0.0007,0.031669478049999984
0.0008,0.03399916783557386
0.0009,0.03609653608847167
0.001,0.03800816079683239
0.002,0.05148794229699553
0.003,0.0600546207558732
0.004,0.06629800147077511
0.005,0.07111986833557289
0.01,0.08480183954269943
0.011,0.08641890321634886
0.012,0.08782634301651444
0.013,0.08906246151450468
0.014,0.09015729958744222
0.015,0.09113467902953375
0.016,0.09201366707109034
0.017,0.09280964967042078
0.018,0.0935351322206878
0.019,0.09420034573158156
0.02,0.09481371140513994
0.021,0.09538220039931307
0.022,0.0959116149153733
0.023,0.09640680951730869
0.024,0.09687186657852727
0.025,0.09731023620592069
0.026,0.09772484844175894
0.027,0.0981182036819332
0.028,0.09849244587278048
0.029,0.0988494220183636
0.03,0.09919073075222495
0.031,0.09951776213386607
0.032,0.09983173037420767
0.033,0.10013370084152615
0.034,0.10042461242407201
0.035,0.10070529611024788
0.036,0.10097649047779848
0.037,0.10123885464882428
0.038,0.1014929791612084
0.039,0.1017393951215847
0.04,0.10197858193711731
0.041,0.10221097386854351
0.042,0.10243696560265735
0.043,0.10265691700701589
0.044,0.1028711572006378
0.045,0.10307998805083253
0.046,0.10328368718739914
0.047,0.10348251060965889
0.048,0.10367669494898582
0.049,0.10386645943904317
0.05,0.10405200763723896
0.051,0.1042335289339139
0.052,0.10441119987974001
0.053,0.10458518535702951
0.054,0.10475563961658715
0.055,0.10492270719844907
0.056,0.10508652375193198
0.057,0.10524721676824368
0.058,0.10540490623668879
0.059,0.1055597052343213
0.06,0.10571172045690423
0.061,0.10586105269848946
0.062,0.10600779728552456
0.063,0.10615204447076731
0.064,0.10629387979150422
0.065,0.10643338439603457
0.066,0.10657063534185483
0.067,0.1067057058684921
0.068,0.10683866564760247
0.069,0.1069695810126531
0.07,0.10709851517024811
0.071,0.10722552839479026
0.072,0.10735067820814233
0.073,0.10747401954559124
0.074,0.10759560490953704
0.075,0.10771548451179411
0.076,0.10783370640566389
0.077,0.10795031660862268
0.078,0.10806535921639009
0.079,0.10817887650910046
