strain,C1,C2
0.0,0.013120151663759856,1.665149812371423
0.00011,0.009496674667748848,1.1599754761335568
0.0002,0.009128573097009422,1.0966662451147353
0.0003,0.00886157122942936,1.0581117403864875
0.0004,0.008663410015989277,1.0337998570030658
0.0005,0.008504647058078742,1.0169654376732553
0.0006,0.008371619564569381,1.0046186536677144
0.0007,0.00825681174252727,0.9951985939469574
0.0008,0.008155625086788642,0.9877998367511658
0.0009,0.00806503151774509,0.9818571846524825
0.001,0.007982926428199415,0.9769980957562152
0.002,0.007417663707727649,0.9548720171232661
0.003,0.007066929832088776,0.948368726798988
0.004,0.006809248093884557,0.9457192124418694
0.005,0.006604423948078655,0.9444454204542009
0.01,0.005941641865225221,0.9428948875636318
0.011,0.005847498935616088,0.9428296355719996
0.012,0.0057609469523252875,0.9427847616585258
0.013,0.005680824213070165,0.9427532685539798
0.014,0.00560621957686718,0.9427307727649635
0.015,0.005536404830646217,0.9427144527390412
0.016,0.005470788513342151,0.9427024490806536
0.017,0.005408883496414121,0.9426935109102951
0.018,0.005350283667774167,0.9426867812064234
0.019,0.005294646807420528,0.9426816631423554
0.02,0.005241681776468698,0.9426777349543137
0.021,0.005191138775194859,0.9426746946140624
0.022,0.005142801826046605,0.9426723232130204
0.023,0.005096482896995739,0.9426704603285709
0.024,0.005052017252617334,0.9426689872021723
0.025,0.005009259736706901,0.9426678150941452
0.026,0.004968081770535052,0.9426668771204594
0.027,0.004928368907148385,0.9426661224639156
0.028,0.004890018822231477,0.9426655122250144
0.029,0.004852939651015999,0.9426650164184454
0.03,0.00481704860192439,0.9426646117787199
0.031,0.004782270793337611,0.9426642801430988
0.032,0.004748538271635327,0.9426640072502909
0.033,0.00471578917755372,0.9426637818412482
0.034,0.004683967034702382,0.9426635949812822
0.035,0.004653020139319879,0.9426634395455927
0.036,0.0046229010344186385,0.9426633098263372
0.037,0.00459356605465897,0.9426632012307254
0.038,0.004564974930808296,0.9426631100477361
0.039,0.004537090444641349,0.9426630332668816
0.04,0.004509878126736264,0.9426629684366902
0.041,0.00448330599090844,0.9426629135536589
0.042,0.004457344300065754,0.9426628669747139
0.043,0.00443196535911662,0.9426628273478936
0.044,0.0044071433312561446,0.9426627935572306
0.045,0.004382854074526005,0.9426627646787434
0.046,0.004359074996015148,0.942662739945165
0.047,0.004335784921459425,0.9426627187175667
0.048,0.0043129639783244245,0.9426627004624484
0.049,0.00429059349072862,0.9426626847331783
0.05,0.004268655884793186,0.9426626711549073
0.051,0.004247134603198338,0.9426626594122685
0.052,0.004226014027889621,0.9426626492393162
0.053,0.004205279410016688,0.9426626404112738
0.054,0.00418491680630554,0.9426626327377445
0.055,0.004164913021166542,0.942662626057112
0.056,0.004145255553927335,0.9426626202319086
0.057,0.004125932550654493,0.9426626151449752
0.058,0.0041069327600922086,0.9426626106962687
0.059,0.004088245493301961,0.9426626068002022
0.06,0.0040698605866355386,0.9426626033834241
0.061,0.004051768367715586,0.9426626003829579
0.062,0.004033959624134725,0.9426625977446431
0.063,0.00401642557461593,0.9426625954218234
0.064,0.003999157842405166,0.9426625933742422
0.065,0.003982148430691534,0.9426625915671107
0.066,0.003965389699871993,0.9426625899703192
0.067,0.003948874346496626,0.9426625885577689
0.068,0.0039325953837472186,0.9426625873068049
0.069,0.003916546123316825,0.9426625861977346
0.07,0.003900720158571095,0.942662585213416
0.071,0.003885111348883877,0.9426625843389081
0.072,0.0038697138050499363,0.9426625835611708
0.073,0.0038545218756869727,0.9426625828688089
0.074,0.0038395301345473067,0.9426625822518517
0.075,0.0038247333686670334,0.9426625817015651
0.076,0.003810126567287036,0.9426625812102885
0.077,0.0037957049114861877,0.9426625807712951
0.078,0.003781463764472382,0.9426625803786719
0.079,0.0037673986624818406,0.9426625800272149
