strain,C1,C2,C3,C4
0.0,-0.3784882668165761,10637084.040360129,5.182211464074053,-0.02128285230127169
0.00011,-0.29974995066780313,2749579.4071566816,3.140827994634959,-0.018790807047809933
0.0002,-0.26246698391124057,1756079.4803500175,1.8708998226210851,-0.016958622644999012
0.0003,-0.23662829897032325,1080919.949899571,0.8387400447796551,-0.015118997162654638
0.0004,-0.21953995794466377,601668.926014848,0.16096466772222762,-0.013465607212594616
0.0005,-0.20655603454640833,229969.33138172328,-0.20838602940572137,-0.01197959913476021
0.0006,-0.19499493198307574,-73628.25557639077,-0.31527176745871976,-0.010644027930094092
0.0007,-0.1833088509759203,-330196.38077115454,-0.20565226729128838,-0.009443664036158154
0.0008,-0.1706044123957596,-552324.990451144,0.07451275024204129,-0.008364819663931475
0.0009,-0.15636596393585145,-748140.1786551178,0.47926356428675376,-0.007395192715501402
0.001,-0.14029587462098864,-923193.1229316965,0.9626404539883122,-0.00652372650283592
0.002,-0.06942944994499935,-2070952.7362006325,0.009704924135236936,-0.001447752352803481
0.003,-0.07567383547299733,3.007841372172713,0.10236127069491747,-0.0025669275876549816
0.004,-0.08137849470385719,3.171242129213461,0.11173551129351764,-0.0029665730985592273
0.005,-0.08652954187116653,3.2965570710378027,0.12007021983601858,-0.0033137748985979727
0.01,-0.10379163677031562,3.6737760444811345,0.14685819540006056,-0.0043103316862176996
0.011,-0.10566668016047615,3.72366417097239,0.1493801598217815,-0.004372642638019774
0.012,-0.10710673520202685,3.768658887974116,0.1510040749260083,-0.004393465685698844
0.013,-0.10814332998734662,3.809545466173709,0.1517501525325417,-0.0043748587330064495
0.014,-0.10877709453087044,3.846934320475045,0.15163860446118244,-0.004319030981437624
0.015,-0.10896328122723281,3.8813093551817492,0.15068964253173125,-0.0042283540536447225
0.016,-0.1086063860597427,3.913060675571373,0.14892347856398888,-0.0041053739346412
0.017,-0.10756994171520375,3.942507365684214,0.14636032437775598,-0.003952823790919605
0.018,-0.1057050786064899,3.969913745981653,0.14302039179283332,-0.003773637732026857
0.019,-0.10289658150862424,3.995501229770532,0.13892389262902163,-0.00357096558388626
0.02,-0.09911849688791875,4.019457135041451,0.1340910387061217,-0.003348188748248431
0.021,-0.09448435720405386,4.04194134424376,0.12854204184393417,-0.0031089372281236497
0.022,-0.0892720684520439,4.063091413436204,0.12229711386225972,-0.0028571079049169467
0.023,-0.08390311072943253,4.083026544850223,0.11537646658089923,-0.0025968841592910433
0.024,-0.07886220047119528,4.101850713400765,0.10780031181965333,-0.002332756934545934
0.025,-0.07455787913076169,4.119655154564136,0.09958886139832268,-0.0020695473485692188
0.026,-0.0711452548936211,4.136520364037528,0.09076232713670829,-0.0018124309682059467
0.027,-0.06835508487483437,4.152517719820354,0.08134092085461064,-0.0015669638682685922
0.028,-0.06539157372705405,4.1677108091668735,0.07134485437183036,-0.0013391106063911592
0.029,-0.0609661516491614,4.1821565225904855,0.06079433950816848,-0.0011352742545806056
0.03,-0.05351824158341746,4.195905962332935,0.04970958808342546,-0.0009623286386705025
0.031,-0.04163252832380006,4.2090052018214745,0.03811081191740229,-0.0008276529480017486
0.032,-0.02459828426080206,4.22149592451485,0.026018222829899462,-0.0007391688895850641
0.033,-0.0029817673856685073,4.233415964417721,0.013452032640717704,-0.0007053805738158774
0.034,0.02098136991982409,4.244799765884702,0.0004324531696580092,-0.0007354173325610281
0.035,0.04339322167904543,4.255678776757788,-0.013020303763479235,-0.0008390796852038832
0.036,0.059282239286336316,4.266081786110128,-0.026886026338893032,-0.001026888684080652
0.037,0.0638369448806468,4.276035215706109,-0.04114450273678272,-0.0013101388877603975
0.038,0.05415336440682446,4.285563372586248,-0.05577552113734785,-0.0017009552288816854
0.039,0.0666484155103646,4.294688668837835,-0.07075886972078715,-0.0022123540628720584
0.04,0.06684274957065739,4.303431813537641,-0.08607433666730036,-0.00285830870492106
0.041,0.06703708490807259,2.060509464598504,-0.06844133559604088,-0.0034303975926603947
0.042,0.0672314215226244,2.031876188852611,-0.06990497865299175,-0.0035699718049739815
0.043,0.06742575941432705,2.0040874098273425,-0.07133352956833244,-0.003709564973987778
0.044,0.06762009858316986,1.9771013072049572,-0.07272698834206295,-0.003849177102276391
0.045,0.06781443902918483,1.9508790216772867,-0.07408535497418332,-0.00398880819241465
0.046,0.06800878075236128,1.9253843847054024,-0.07540862946469355,-0.004128458246978051
0.047,0.06820312375271698,1.9005836782314893,-0.07669681181359359,-0.00426812726854231
0.048,0.06839746803025903,1.8764454204619776,-0.07794990202088346,-0.0044078152596833675
0.049,0.06859181358499455,1.8529401744135714,-0.07916790008656317,-0.004547522222978051
0.05,0.0687861604169342,1.8300403763919952,-0.08035080601063271,-0.004687248161002522
0.051,0.06898050852608151,1.8077201819742759,-0.08149861979309211,-0.004826993076334052
0.052,0.06917485791245426,1.785955327402874,-0.08261134143394135,-0.004966756971550579
0.053,0.06936920857604534,1.7647230045850195,-0.0836889709331804,-0.0051065398492291525
0.054,0.06956356051687962,1.7440017481322387,-0.08473150829080933,-0.005246341711948599
0.055,0.06975791373495355,1.723771333080502,-0.08573895350682806,-0.005386162562287078
0.056,0.06995226823028489,1.704012682106688,-0.08671130658123663,-0.005526002402823416
0.057,0.07014662400287719,1.6847077812070395,-0.08764856751403505,-0.005665861236137104
0.058,0.07034098105273401,1.6658396029319764,-0.08855073630522331,-0.005805739064807414
0.059,0.07053533937987311,1.6473920363823837,-0.08941781295480139,-0.0059456358914145024
0.06,0.07072969898430159,1.6293498232680936,-0.0902497974627693,-0.006085551718538529
0.061,0.07092405986601591,1.6116984994119434,-0.09104668982912709,-0.006225486548760317
0.062,0.07111842202503738,1.5944243411545473,-0.09180849005387469,-0.006365440384660248
0.063,0.07131278546137665,1.577514316177285,-0.09253519813701211,-0.006505413228820256
0.064,0.07150715017503018,1.5609560383153473,-0.09322681407853939,-0.0066454050838216094
0.065,0.07170151616601572,1.5447377259802133,-0.09388333787845651,-0.006785415952246243
0.066,0.07189588343432973,1.528848163852453,-0.09450476953676346,-0.006925445836677202
0.067,0.07209025198000063,1.5132766675422875,-0.09509110905346024,-0.007065494739696421
0.068,0.07228462180301776,1.4980130509473422,-0.09564235642854686,-0.00720556266388761
0.069,0.07247899290339177,1.4830475960653566,-0.09615851166202334,-0.0073456496118335934
0.07,0.07267336528114754,1.4683710250444797,-0.09663957475388964,-0.007485755586118525
0.071,0.07286773893627796,1.4539744742758849,-0.09708554570414576,-0.007625880589326339
0.072,0.07306211386879014,1.4398494703529505,-0.09749642451279172,-0.007766024624041856
0.073,0.07325649007870538,1.425987907738616,-0.09787221117982753,-0.007906187692849453
0.074,0.0734508675660237,1.412382027997901,-0.09821290570525318,-0.008046369798334396
0.075,0.07364524633074865,1.399024400466352,-0.09851850808906867,-0.008186570943082394
0.076,0.07383962637289798,1.385907904237393,-0.09878901833127399,-0.008326791129679156
0.077,0.07403400769247881,1.3730257113625166,-0.09902443643186913,-0.008467030360711059
0.078,0.07422839028949468,1.3603712711680287,-0.09922476239085413,-0.008607288638764476
0.079,0.07442277416395271,1.3479382956008497,-0.09938999620822896,-0.008747565966426674
