strain,C1,C2,C3,C4
0.0,0.17435710911345423,0.9999999992994472,-0.055670052794616676,0.008448489390562613
0.00011,0.11048085077816469,0.9999999994267048,-0.12915450475050755,-0.015299271219816488
0.0002,0.09441626511836079,0.9999999994603003,-0.1387641202360044,-0.020255274564173406
0.0003,0.08159794242863075,0.9999999994874736,-0.14556669907493833,-0.024061998344561075
0.0004,0.07147874233590254,0.9999999995091532,-0.15049178770059862,-0.026985233964200897
0.0005,0.06301652318058512,0.9999999995274377,-0.15434814020546725,-0.02937877201539335
0.0006,0.05569432053012499,0.9999999995433735,-0.15751134952004933,-0.03141457318678881
0.0007,0.0492130525616781,0.9999999995575688,-0.16018767755253926,-0.03319052954020951
0.0008,0.04338213934130822,0.9999999995704123,-0.1625029537948124,-0.03476818124768808
0.0009,0.03807174191346066,0.9999999995821698,-0.1645397334437005,-0.03618896590248435
0.001,0.03318894042711887,0.999999999593032,-0.16635516075508866,-0.03748223196955567
0.002,-0.0019648253701305407,0.9999999996727484,-0.1780048011231546,-0.046446818400658285
0.003,-0.024760809914248283,0.9999999997259597,-0.184431198732298,-0.05196024875481925
0.004,-0.04175019907104047,0.9999999997664705,-0.1887396272935825,-0.05592760776674825
0.005,-0.05528919442800562,0.9999999997993199,-0.191910586491054,-0.05900629780056164
0.01,-0.09830935561567863,0.9999999999075174,-0.20063862622449521,-0.06832130979082839
0.011,-0.10421360483886835,0.9999999999228846,-0.20169261347893835,-0.0695456238385085
0.012,-0.10957567949139746,0.9999999999369639,-0.2026221700713237,-0.07064634290149405
0.013,-0.11447764950872676,0.9999999999499423,-0.20344945545815477,-0.0716433237317333
0.014,-0.11898438788999234,0.9999999999619685,-0.2041914455215692,-0.07255209658892706
0.015,-0.12314808091565443,0.9999999999731631,-0.20486140476380676,-0.07338503164699849
0.016,-0.12701134387114252,0.9999999999836247,-0.20546987477328843,-0.07415213723583108
0.017,-0.130609431539962,0.9999999999934353,-0.20602535709340147,-0.07486162120129779
0.018,-0.13397184290740377,1.000000000002664,-0.20653479671704822,-0.07552029505737784
0.019,-0.13712350964653763,1.0000000000113696,-0.20700393183586027,-0.07613387097221623
0.02,-0.14008569197672438,1.000000000019602,-0.2074375516591648,-0.07670718396908549
0.021,-0.14287666456827383,1.0000000000274052,-0.20783968967316957,-0.07724436084952996
0.022,-0.1455122490683033,1.0000000000348161,-0.20821377068822405,-0.07774895045727194
0.023,-0.14800623275510844,1.000000000041868,-0.20856272423768324,-0.07822402542556055
0.024,-0.1503707014150794,1.0000000000485905,-0.20888907309652363,-0.0786722625760768
0.025,-0.15261630674984838,1.0000000000550084,-0.2091950031450665,-0.07909600712021053
0.026,-0.15475248321248825,1.000000000061145,-0.2094824190671701,-0.07949732442014923
0.027,-0.15678762535210328,1.0000000000670208,-0.20975298916662038,-0.07987804208866195
0.028,-0.1587292340083481,1.000000000072654,-0.2100081817349852,-0.08023978450872503
0.029,-0.160584037707863,1.0000000000780611,-0.21024929479562884,-0.08058400134967497
0.03,-0.16235809415048524,1.000000000083257,-0.2104774806073484,-0.08091199128715831
0.031,-0.16405687558301807,1.0000000000882552,-0.2106937659872749,-0.08122492186042118
0.032,-0.16568534103797353,1.0000000000930678,-0.21089906927235155,-0.08152384619542961
0.033,-0.1672479977911132,1.0000000000977063,-0.21109421455846042,-0.08180971716714242
0.034,-0.16874895391316486,1.0000000001021807,-0.21127994371977835,-0.0820833994557241
0.035,-0.1701919634208078,1.0000000001065006,-0.21145692660663784,-0.08234567986013504
0.036,-0.17158046524310827,1.0000000001106744,-0.21162576973978336,-0.0825972761615548
0.037,-0.17291761699243804,1.00000000011471,-0.21178702375646655,-0.08283884477351139
0.038,-0.17420632434904554,1.0000000001186151,-0.211941189814948,-0.08307098737174815
0.039,-0.1754492667250569,1.0000000001223963,-0.21208872512545088,-0.08329425666204283
0.04,-0.1766489197586458,1.00000000012606,-0.21223004774504498,-0.0835091614163643
0.041,-0.1778075750962617,1.0000000001296117,-0.21236554074953493,-0.08371617088537273
0.042,-0.1789273578454392,1.0000000001330571,-0.21249555587582505,-0.08391571867716846
0.043,-0.18001024201920784,1.0000000001364013,-0.21262041671240017,-0.08410820617747447
0.044,-0.1810580642426709,1.000000000139649,-0.21274042150270583,-0.08429400557440403
0.045,-0.1820725359507398,1.0000000001428042,-0.2128558456157175,-0.08447346254107968
0.046,-0.1830552542715792,1.0000000001458718,-0.21296694372938343,-0.0846468986212115
0.047,-0.18400771176167782,1.000000000148855,-0.21307395176553598,-0.08481461335597802
0.048,-0.1849313051345454,1.0000000001517577,-0.21317708860899795,-0.08497688618492247
0.049,-0.18582734310497723,1.0000000001545832,-0.21327655763873685,-0.0851339781488685
0.05,-0.18669705345394821,1.000000000157335,-0.21337254809485046,-0.08528613341891009
0.051,-0.18754158940493265,1.0000000001600158,-0.2134652363017616,-0.08543358067220122
0.052,-0.18836203539035626,1.0000000001626286,-0.21355478676513562,-0.08557653433245885
0.053,-0.1891594122765996,1.0000000001651759,-0.2136413531576184,-0.08571519569070613
0.054,-0.1899346821071934,1.0000000001676606,-0.2137250792064479,-0.08584975391975212
0.055,-0.1906887524163324,1.0000000001700848,-0.2138060994942563,-0.08598038699417125
0.056,-0.19142248015838173,1.000000000172451,-0.2138845401829001,-0.08610726252606082
0.057,-0.1921366752934936,1.000000000174761,-0.2139605196688924,-0.08623053852558074
0.058,-0.1928321040646567,1.0000000001770173,-0.2140341491779288,-0.08635036409418179
0.059,-0.1935094919973456,1.0000000001792217,-0.21410553330506749,-0.08646688005748064
0.06,-0.1941695266493352,1.0000000001813758,-0.21417477050632316,-0.0865802195439198
0.061,-0.1948128601351074,1.0000000001834815,-0.21424195354674203,-0.08669050851463803
0.062,-0.1954401114465426,1.0000000001855405,-0.21430716990942505,-0.08679786624935741
0.063,-0.19605186858919818,1.0000000001875544,-0.21437050216944709,-0.08690240579255314
0.064,-0.19664869055137918,1.0000000001895248,-0.21443202833616615,-0.08700423436369918
0.065,-0.19723110912137035,1.0000000001914529,-0.21449182216702242,-0.08710345373497054
0.066,-0.19779963056657687,1.0000000001933402,-0.21454995345558184,-0.0872001605794184
0.067,-0.19835473718689797,1.000000000195188,-0.21460648829627663,-0.08729444679231631
0.068,-0.19889688875339456,1.0000000001969978,-0.2146614893280302,-0.08738639978809333
0.069,-0.19942652384219858,1.0000000001987703,-0.21471501595872053,-0.08747610277502199
0.07,-0.1999440610726229,1.000000000200507,-0.21476712457223118,-0.08756363500960902
0.071,-0.20044990025755124,1.000000000202209,-0.21481786871965683,-0.08764907203244178
0.072,-0.2009444234734082,1.0000000002038774,-0.21486729929607154,-0.08773248588707057
0.073,-0.201427996056311,1.0000000002055127,-0.2149154647041242,-0.08781394532335336
0.074,-0.20190096753038506,1.0000000002071165,-0.21496241100560082,-0.0878935159865519
0.075,-0.2023636724736684,1.0000000002086895,-0.21500818206198113,-0.0879712605933466
0.076,-0.202816431326533,1.0000000002102325,-0.21505281966491702,-0.08804723909582796
0.077,-0.2032595511471046,1.0000000002117466,-0.21509636365747165,-0.08812150883442446
0.078,-0.20369332631776255,1.0000000002132323,-0.2151388520468787,-0.08819412468063989
0.079,-0.20411803920643953,1.0000000002146905,-0.21518032110951055,-0.08826513917039343
