Strain,stress_strRt_0.0001,Extrapolated,Stress 298,Stress 473,Stress,Stress_Product
0.0,14.45352919,300.0,276.5499752,649.8592176,356.0924468056102,5146.792574243409
0.00011,-1.793382775,305.0,464.7917575,680.3480602,747.4414504186766,-1340.4486225018711
0.0002,-0.197337404,310.0,578.9929228,699.4783264,771.6425875891457,-152.27394505068463
0.0003,0.532084013,316.095694,628.6112195,716.4127855,788.5007067994836,419.5486203272056
0.0004,0.777522642,334.47398,653.1743004,730.0708225,800.684623956115,622.5504242271351
0.0005,1.036119075,438.383491,669.6384337,741.3718562,810.2647060446787,839.5307177321595
0.0006,1.28105551,463.692395,682.8692873,750.9542655,818.1772298100532,1048.130448404705
0.0007,1.403964267,507.857808,694.3736935,759.2636352,824.9274258611326,1158.168628777322
0.0008,1.346721598,545.220047,704.7000951,766.6129736,830.8197106047995,1118.8828483155933
0.0009,1.092580693,638.3509,714.1053866,773.2238637,836.0519989296962,913.4542723746426
0.001,0.641571325,693.825155,722.7448869,779.2546309,840.7603560066112,539.4077356106333
0.002,1.148969802,719.325141,783.4464168,822.8401309,872.4037624283037,1002.3655781813032
0.003,1.011952621,780.217758,820.3590849,852.003848,891.4632238459778,902.1185458960471
0.004,1.014852638,789.51691,846.393232,874.0617058,905.2381219878208,918.6832961175057
0.005,1.017692946,830.164526,866.2691935,891.7384008,916.0691745872748,932.2771370255119
0.01,1.027917943,850.144364,925.1066477,948.3443438,950.5469549662564,977.084270673828
0.011,1.028894176,858.964404,932.7789886,956.2051242,955.388173549343,982.9933275841964
0.012,1.029505399,874.793463,939.6863307,963.3790326,959.8293865319582,988.1495355535089
0.013,1.029776037,881.596048,945.9574335,969.9724519,963.9331355829084,992.6352442935512
0.014,1.029741811,900.156275,951.6917962,976.0690915,967.748254539058,996.5308402211386
0.015,1.029448229,902.286394,956.9678045,981.7359712,971.3136164552654,999.9170822634583
0.016,1.028949001,946.897337,961.8482433,987.0275583,974.6606795890472,1002.8761325771311
0.017,1.02830434,949.034838,966.3841323,991.9887013,977.8152671069222,1005.4916828843074
0.018,1.027579141,950.933723,970.6174584,996.656757,980.798841939479,1007.8484314939645
0.019,1.026841002,959.730869,974.5831639,1001.063161,983.6294396522244,1010.0310394091887
0.02,1.026158067,967.412151,978.31062,1005.234611,986.322363967222,1012.1226504474749
0.021,1.025596682,974.124297,981.8247364,1009.193964,988.890713994964,1014.203035133846
0.022,1.02521884,974.875854,985.1468108,1012.96094,991.3457898540072,1016.346380713009
0.023,1.025079395,979.996833,988.2951853,1016.552665,993.6974089035716,1018.6187387319407
0.024,1.025223037,984.819898,991.2857629,1019.984101,995.954155263237,1021.0751437717453
0.025,1.025680994,985.148812,994.1324156,1023.268401,998.1235788490352,1023.7563844887159
0.026,1.02646746,989.692789,996.8473117,1026.417181,1000.2123557238624,1026.6854362404897
0.027,1.027575718,993.736997,999.4411801,1029.440752,1002.226418460746,1029.8635315483696
0.028,1.028973937,997.386254,1001.923526,1032.348305,1004.1710630156952,1033.2658521327348
0.029,1.030600627,1000.74195,1004.302806,1035.148071,1006.0510370202986,1036.83682954712
0.03,1.032359718,1003.90133,1006.586579,1037.847444,1007.87061324585,1040.4850220709727
0.031,1.034115245,1006.95619,1008.781622,1040.453092,1009.63365113482,1044.0775505035288
0.032,1.035685605,1009.99107,1010.894036,1042.971052,1011.34364865581,1047.434058621
0.033,1.036837352,1013.08103,1012.92933,1045.406801,1013.0037862551428,1050.3201633067563
0.034,1.037278499,1016.289,1014.892498,1047.765325,1014.6169643099988,1052.4403617994121
0.035,1.036651285,1016.79648,1016.788075,1050.051177,1016.185835204724,1053.4303518637753
0.036,1.034524363,1019.66272,1018.620193,1052.268525,1017.7128309321512,1052.8487181370106
0.037,1.030384368,1023.23133,1020.392629,1054.421191,1019.2001869499112,1050.167940495866
0.038,1.02362681,1027.00149,1022.108841,1056.512691,1020.649962886317,1044.764665635939
0.039,1.030802875,1030.9532,1023.772003,1058.546267,1022.064060582989,1053.5465720831191
0.04,1.034046981,1035.0351,1025.385036,1060.524912,1023.4442398756166,1058.2894264652211
0.041,1.034280358,1039.15944,1026.950632,1062.451397,1024.7921324453202,1059.9223736211293
0.042,1.034677673,1043.19645,1028.47128,1064.328291,1026.1092540173686,1061.6923351904568
0.043,1.035066896,1043.47906,1029.949281,1066.157979,1027.3970151387264,1063.4246394193065
0.044,1.035447797,1046.25801,1031.38677,1067.942683,1028.656730728895,1065.1203457024565
0.045,1.035820159,1046.9684,1032.785732,1069.684471,1029.8896285681335,1066.780438815895
0.046,1.036183774,1050.24296,1034.14801,1071.385276,1031.0968568620624,1068.4058325028695
0.047,1.036538447,1051.39661,1035.475326,1073.046904,1032.2794910008756,1069.9973804719982
0.048,1.036883989,1052.72617,1036.769283,1074.671046,1033.4385396140697,1071.555875341371
0.049,1.037220222,1053.78741,1038.031382,1076.259287,1034.5749500071463,1073.0820593220512
0.05,1.037546972,1054.05466,1039.263027,1077.813115,1035.6896130545942,1074.5766219566458
0.051,1.037864073,1055.30712,1040.465533,1079.33393,1036.7833676132184,1076.0402087297111
0.052,1.038171367,1060.2963,1041.640137,1080.823047,1037.8570045112606,1077.4734251239804
0.053,1.038468697,1062.15487,1042.787998,1082.281706,1038.91127016138,1078.8768330231032
0.054,1.038755914,1064.13627,1043.910207,1083.711079,1039.9468698393443,1080.250961291407
0.055,1.039032871,1065.43781,1045.007793,1085.11227,1040.9644706649312,1081.596302563979
0.056,1.039299426,1066.06641,1046.081726,1086.486322,1041.964704316964,1082.9133191088802
0.057,1.03955544,1067.94716,1047.132919,1087.834225,1042.9481695104894,1084.2024432526714
0.058,1.039800777,1069.78028,1048.162237,1089.156913,1043.9154342607123,1085.464079666581
0.059,1.040035303,1071.56739,1049.170497,1090.455275,1044.8670379553737,1086.6986064146297
0.06,1.040258887,1073.30999,1050.158474,1091.730151,1045.803493254733,1087.9063779138805
0.061,1.040471401,1075.00947,1051.1269,1092.982342,1046.7252878361105,1089.0877266969662
0.062,1.040672716,1076.66714,1052.076471,1094.212608,1047.6328859980265,1090.2429608424845
0.063,1.040862706,1078.28421,1053.007846,1095.42167,1048.526730137307,1091.372369644049
0.064,1.041041248,1079.8618,1053.921653,1096.610219,1049.4072421110554,1092.4762249875314
0.065,1.041208217,1081.40096,1054.818487,1097.778909,1050.2748244941167,1093.5547773715073
0.066,1.041363491,1082.90269,1055.698915,1098.928365,1051.1298617415232,1094.6082623175
0.067,1.041506947,1083.1685,1056.563478,1100.059185,1051.9727212644232,1095.6368972513915
0.068,1.041638464,1084.3679,1057.41269,1101.171938,1052.803754427124,1096.6408856549026
0.069,1.041757921,1085.79745,1058.247042,1102.267168,1053.623297472093,1097.6204158916923
0.07,1.041865197,1087.19214,1059.067001,1103.345395,1054.4316723790944,1098.5756620662846
0.071,1.041960172,1088.55272,1059.873016,1104.407118,1055.229187664007,1099.506785877809
0.072,1.042042723,1089.87991,1060.665512,1105.452814,1056.0161391223571,1100.4139331430079
0.073,1.04211273,1091.17436,1061.444899,1106.482938,1056.792810522091,1101.297240817549
0.074,1.042170072,1092.43669,1062.211567,1107.497928,1057.5594742497035,1102.1568334230956
0.075,1.042214627,1093.66748,1062.965891,1108.498205,1058.3163919134429,1102.9928236460546
0.076,1.042246273,1094.86728,1063.708228,1109.484171,1059.0638149069785,1103.8053139559602
0.077,1.042264886,1096.0366,1064.438922,1110.456213,1059.801984936603,1104.5943950125222
0.078,1.042270344,1097.0988,1065.158302,1111.414701,1060.5311345147702,1105.3601503934199
0.079,1.042262521,1097.17591,1065.866684,1112.359994,1061.2514874225178,1106.1026506959934
0.08,1.042241292,1098.28568,1066.564372,1113.292433,1061.9632591431066,1106.8219592658422
0.081,1.042206532,1099.36631,1067.251656,1114.212351,1062.6666572690008,1107.5181315443579
0.082,1.042158113,1100.4182,1067.928817,1115.120063,1063.361881884136,1108.1912122605
0.083,1.042095906,1101.44173,1068.596124,1116.015878,1064.049125923258,1108.8412379075057
0.084,1.042019783,1102.43724,1069.253835,1116.900088,1064.728575509965,1109.4682392067928
0.085,1.041929612,1103.40505,1069.902199,1117.772979,1065.400410274951,1110.0722361024202
