strain,RD,DD,TD,biaxial,r_RD,r_DD,r_TD
0.0,276.5499752,311.3563602,276.5499752,387.05594299699254,0.3961640965328839,0.3447016950309489,0.4823122157890935
0.00011,464.79175748106434,399.09410915587705,383.2127262115248,487.1453048174808,0.4041761399821709,0.361064414671759,0.4907677336336533
0.0002,578.9929227857886,510.9791896848459,494.46760364356646,553.3592022329477,0.4105437054017922,0.3740600158899383,0.4975082483193347
0.0003,628.6112194921564,565.5228604590036,550.0858516214282,575.1764555011814,0.4174267125146089,0.3880977561691594,0.5048150270396121
0.0004,653.1743003794115,594.9317216234709,580.5842563669079,579.8155416869427,0.4241135659597878,0.4017244597672089,0.5119342998974759
0.0005,669.6384337358439,615.3159895949582,601.9348030331234,584.6336238575645,0.430610304442602,0.4149521440879766,0.5188709080656153
0.0006,682.8692873042116,631.8051832209612,619.3522546563886,591.4681511344917,0.4369227782361066,0.4277925038723396,0.5256295771329818
0.0007,694.373693451125,646.1429958505029,634.6279022509698,595.2933361477376,0.4430566550683731,0.440256918903259,0.5322149195382977
0.0008,704.7000950845701,659.0058740256178,648.4471416865541,604.250534822968,0.4490174258258407,0.4523564615566755,0.5386314369623761
0.0009,714.1053865956255,670.7166880368657,661.1255026307645,609.845271925949,0.454810410078529,0.4641019042004046,0.5448835226794344
0.001,722.7448869444363,681.4685425439704,672.8450972972555,617.5772281745964,0.4604407614326736,0.4755037264430939,0.5509754638680135
0.002,783.4464168476738,756.4594541360777,756.3111141058819,695.9111153238505,0.5088245065964774,0.5727328036558106,0.603958675980806
0.003,820.3590849223658,801.0401702231148,806.810121036068,757.7907209486937,0.5455620669072633,0.645209033982141,0.6449380374915066
0.004,846.3932319776574,831.7455876850674,841.6676637010676,808.406229702999,0.5737472873513023,0.6995652320718335,0.6767702506439832
0.005,866.2691935240255,854.6876938038849,867.6376419144309,841.6828233879511,0.5956347324100125,0.7407474097395834,0.7016605789194443
0.01,925.1066477101914,919.56385718988,940.0512331738007,904.7929458601732,0.6548854397620119,0.8475370153527138,0.7688607117165347
0.011,932.778988571787,927.6488450471444,948.9097928387783,913.966731030093,0.6615403275640226,0.8596616240459127,0.7763139010910436
0.012,939.6863306908916,934.847676374726,956.7567929206332,922.3363345694679,0.6673178326745575,0.8704626675565947,0.7827786501812284
0.013,945.9574334933444,941.3164709099926,963.7731818087548,930.0196026992965,0.6724039631919982,0.8802700585818997,0.788477320623322
0.014,951.6917962412458,947.1748914203182,970.0974225389995,937.1074303926937,0.6769365125134453,0.8893054404251757,0.7935725970877385
0.015,956.967804520141,952.51647654693,975.8375415228728,943.6737792436073,0.6810181377305249,0.8977151248975446,0.7981830205393194
0.016,961.8482433200307,957.415592205292,981.0792425608458,949.7785651422573,0.6847258718302163,0.9055939724637624,0.8023947491778145
0.017,966.3841323024504,961.9322392979306,985.8915210820236,955.4734827934855,0.6881180408974532,0.9130025088941238,0.8062703998003258
0.018,970.6174583996236,966.1154596259522,990.3306413901146,960.8005105810914,0.6912392933523575,0.9199790323843616,0.8098556442897475
0.019,974.5831639223428,970.005800048784,994.4430131792611,965.7944699723661,0.6941242559032579,0.926548042142457,0.8131840911607355
0.02,978.3106199662684,973.6371287679837,998.2673104604424,976.6205467331833,0.6968001908379713,0.9327259912098214,0.8162808655654104
0.021,981.8247364474214,977.0379964355354,1001.8360581699185,980.7028320644673,0.6992889272965802,0.9385251135651628,0.8191652081919969
0.022,985.1468107676814,980.2326714138322,1005.17683776441,984.5585151593399,0.701608264919044,0.9439558823851542,0.8218523399020299
0.023,988.2951853018524,983.2419378047662,1008.3132155266884,988.2060882759896,0.7037729942034006,0.949028509684851,0.824354781114998
0.024,991.285762917135,986.0837181159858,1011.2654660093175,991.6622804102714,0.7057956385566319,0.9537537869590692,0.8266832697876367
0.025,994.1324156126602,988.7735644940605,1014.0511420423557,994.941599645387,0.7076869943736828,0.9581434835772028,0.8288473867818169
0.026,996.8473116827232,991.3250502004458,1016.6855283778816,998.0577866010799,0.7094565246301044,0.9622104580097356,0.8308559703659668
0.027,999.4411800548352,993.7500844934228,1019.1820060710648,1001.0221699698147,0.711112646300806,0.9659685913803884,0.8327173808356676
0.028,1001.9235256725063,996.0591680737364,1021.5523476614652,1003.8449791336351,0.7126629408779293,0.9694326194049694,0.8344396603984663
0.029,1004.3028063593192,998.2616019547556,1023.8069581845649,1006.5376151335258,0.71411430923086,0.9726179144612814,0.8360306214451825
0.03,1006.586579103186,1000.3656595032512,1025.9550733956205,1009.3741804326836,0.7154730862123001,0.9755402520162876,0.8374978872618613
0.031,1008.78162186087,1002.3787291117852,1028.004923912587,1011.8169228593106,0.7167451261700456,0.9782155831633048,0.8388489024362258
0.032,1010.8940356139276,1004.3074332684204,1029.9638720009912,1014.1523639230503,0.7179358674405573,0.98065982625954,0.8400909251509958
0.033,1012.9293303775828,1006.1577285186454,1031.8385262372567,1016.389351443301,0.7190503816614805,0.9828886846057115,0.8412310098155302
0.034,1014.8924980821024,1007.934989852532,1033.6348381626244,1018.532679384461,0.7200934121157979,0.9849174930312756,0.8422759857484721
0.035,1016.7880746470466,1009.644082315466,1035.3581841816035,1020.5872212766185,0.7210694041427032,0.9867610935804976,0.8432324356388605
0.036,1018.6201931057326,1011.2894220748958,1037.013435298309,1022.5590272569175,0.7219825297975573,0.9884337388307358,0.844106676091684
0.037,1020.3926292766132,1012.8750287361712,1038.6050167715298,1024.4533879528417,0.7228367083266202,0.9899490204124106,0.8449047415645055
0.038,1022.108841195263,1014.4045703568332,1040.1369593687684,1026.2749041596226,0.723635623576995,0.9913198198186848,0.8456323723086641
0.039,1023.7720032970616,1015.881402337958,1041.612943584189,1028.0265414865357,0.7243827391413609,0.99255827843524,0.8462950064660149
0.04,1025.3850361627835,1017.3086011564264,1043.0363379355315,1029.7127070061872,0.7250813118063766,0.9936757837727016,0.8468977761712821
0.041,1026.9506324969375,1018.6889937306332,1044.4102322558476,1031.337286039697,0.7257344037082334,0.9946829690635894,0.8474455073277554
0.042,1028.471279894081,1020.0251830745729,1045.7374667361128,1032.9026725491717,0.7263448934806501,0.9955897236384744,0.8479427226244951
0.043,1029.9492808555144,1021.3195707841762,1047.0206573458686,1034.4138484806804,0.7269154865965013,0.9964052117829992,0.8483936473203499
0.044,1031.3867704432405,1022.5743768096136,1048.262218154535,1035.87135517574,0.7274487250446937,0.9971378980708892,0.8488022173158782
0.045,1032.7857318962426,1023.79165689373,1049.4643809908148,1037.2804035653257,0.7279469964419885,0.997795577455733,0.8491720890543704
0.046,1034.14801048337,1024.9733179964728,1050.6292128078444,1038.7032989747634,0.7284125426501533,0.9983854086718368,0.8495066508286087
0.047,1035.4753258251312,1026.121131975519,1051.7586310643132,1040.2292706534815,0.7288474679485315,0.9989139497388636,0.8498090351129903
0.048,1036.769282881924,1027.2367477522062,1052.8544173843247,1041.7144734675753,0.729253746798209,0.9993871945827806,0.8500821315875768
0.049,1038.0313817772324,1028.321702157758,1053.9182297193747,1043.161886206799,0.7296332312245479,0.9998106099773024,0.8503286005670532
0.05,1039.263026600093,1029.3774296263057,1054.9516132030055,1044.5732262095487,0.729987657838616,1.0001891721751974,0.8505508865922877
0.051,1040.4655333107837,1030.4052708773788,1055.9560098612326,1045.948969744535,0.7303186545139715,1.0005274027405164,0.8507512319841339
0.052,1041.640136856542,1031.406480710497,1056.932767318785,1047.2913966004787,0.7306277467326915,1.0008294032119809,0.8509316901961839
0.053,1042.7879975896424,1032.3822350175917,1057.883146621769,1048.60056406204,0.730916363612978,1.0010988883276184,0.8510941388373183
0.054,1043.9102070678437,1033.3336371046885,1058.8083292809458,1049.879372929977,0.7311858436297581,1.0013392176235527,0.8512402922635829
0.055,1045.0077933067778,1034.2617234021309,1059.7094236258686,1051.1285299166943,0.7314374400392247,1.0015534252865166,0.851371713664733
0.056,1046.0817255448983,1035.1674686322876,1060.5874705482745,1052.3495921450585,0.7316723260180246,1.0017442481947685,0.8514898265921786
0.057,1047.1329185739664,1036.0517904948383,1061.4434487030028,1053.5419435604615,0.7318915995277189,1.0019141521250958,0.8515959258928589
0.058,1048.1622366814838,1036.915553922167,1062.278279226043,1054.7088699552774,0.7320962879151114,1.0020653561369812,0.851691188029335
0.059,1049.1704972458128,1037.7595749508816,1063.092830021884,1055.8494800995645,0.732287352259039,1.0021998551722078,0.8517766807778173
0.06,1050.158474019856,1038.5846242498767,1063.8879196659268,1056.9668112881914,0.7324656914741986,1.0023194409268257,0.851853372306536
0.061,1051.1269001349217,1039.3914303404977,1064.6643209622034,1058.0597347177172,0.7326321461825323,1.002425721066558,0.851922139644266
0.062,1052.0764708527415,1040.1806825401932,1065.422764191858,1059.1290379711686,0.7327875023626077,1.0025201368672754,0.8519837765552936
0.063,1053.007846090412,1040.9530336573778,1066.1639400837014,1060.1774374114616,0.7329324947872975,1.00260397936772,0.8520390008413443
0.064,1053.9216527402384,1041.7091024620763,1066.888502534547,1061.2045166382047,0.7330678102598954,1.0026784041247794,0.8520884610946879
0.065,1054.818486804044,1042.449475954147,1067.5970711038915,1062.2117933727907,0.73319409065859,1.0027444446640033,0.8521327429288519
0.066,1055.6989153593534,1043.174711448462,1068.2902333047623,1063.1986811289785,0.733311935798982,1.002803024715945,0.8521723747149537
0.067,1056.5634783730102,1043.885338494325,1068.9685467101476,1064.1665432249458,0.7334219061240579,1.002854969328098,0.8522078328520237
0.068,1057.4126903761262,1044.581860644524,1069.6325408923256,1065.1156515303214,0.7335245252307371,1.0029010149388569,0.852239546600579
0.069,1058.2470420128195,1045.2647570878014,1070.2827192105597,1066.047232269665,0.7336202822418009,1.0029418184957848,0.8522679025078546
0.07,1059.067001473918,1045.934484157074,1070.9195604609836,1066.9624413336348,0.7337096340316838,1.0029779656978803,0.8522932484529591
0.071,1059.8730158256626,1046.5914767244728,1071.5435204010837,1067.7892382725406,0.7337930073142758,1.003009978435088,0.8523158973388831
0.072,1060.665512242459,1047.2361494931374,1072.1550331598953,1068.6722338616416,0.7338708006005398,1.00303832149568,0.852336130457914
0.073,1061.444899151816,1047.8688981947091,1072.7545125439233,1069.5399052838725,0.7339433860334132,1.0030634086056691,0.8523542005552045
0.074,1062.2115672988298,1048.4901007005856,1073.3423532477807,1070.392179940095,0.7340111111071141,1.0030856078615216,0.8523703346142497
0.075,1062.9658907368605,1049.1001180542048,1073.9189319776733,1071.2299556858397,0.7340743002776403,1.003105246611952,0.8523847363868029
0.076,1063.7082277504253,1049.6992954309353,1074.484608495053,1072.0540861222921,0.7341332564709159,1.0031226158398283,0.8523975886880848
0.077,1064.438921715761,1050.2879630315133,1075.0397265870688,1072.8633475329182,0.7341882624947118,1.00313797409288,0.8524090554771391
0.078,1065.1583019040063,1050.866436914423,1075.584614969815,1073.660547991347,0.7342395823601562,1.003151551005672,0.8524192837406659
0.079,1065.8666842315188,1051.435019772105,1076.119588129813,1074.4433702751603,0.7342874625183321,1.0031635504532377,0.8524284051972799
0.08,1066.5643719614052,1051.9940016554358,1076.6449471086698,1075.2145496989588,0.7343321330171788,1.0031741533729388,0.8524365378382228
0.081,1067.2516563600143,1052.5436606505195,1077.160980235386,1075.9737363742242,0.7343738085836096,1.0031835202867398,0.852443787318947
0.082,1067.9288173117886,1053.084263511473,1077.667963810414,1076.720551261757,0.734412689635495,1.0031917935557289,0.852450248215213
0.083,1068.5961238955888,1053.616066252555,1078.166162745168,1077.4566189306363,0.7344489632278947,1.0031990993918924,0.8524560051559646
0.084,1069.2538349253311,1054.1393147027054,1078.65583116039,1078.1804830175868,0.7344828039376637,1.0032055496543109,0.8524611338445212
0.085,1069.9021994575448,1054.6542450252966,1079.1372129464603,1078.8937163795233,0.734514374690327,1.003211243450366,0.852465701978339
0.086,1070.541457268231,1055.1610842056464,1079.6105422884891,1079.5968481900125,0.7345438275328783,1.0032162685628947,0.8524697700771213
0.087,1071.171839301211,1055.660050508649,1080.0760441587754,1080.2893659325302,0.7345713043559488,1.0032207027217055,0.8524733922277719
0.088,1071.793568089977,1056.1513539086668,1080.5339347790095,1080.972772356847,0.7345969375685786,1.003224614735572,0.8524766167543234
0.089,1072.4068581548818,1056.6351964936594,1080.9844220543923,1081.645494027839,0.7346208507286327,1.0032280654995134,0.852479486820009
0.09,1073.011916377378,1057.1117728453569,1081.4277059816695,1082.2561736282908,0.7346431591317133,1.0032311088907733,0.8524820409680274
0.091,1073.6089423528615,1057.5812703971496,1081.8639790329153,1082.911540402434,0.7346639703612496,1.0032337925656236,0.8524843136072278
0.092,1074.1981287235656,1058.0438697712254,1082.2934265167523,1083.5574770173769,0.734683384802274,1.0032361586671357,0.8524863354478143
0.093,1074.7796614928334,1058.4997450963644,1082.716226918562,1084.1943735218088,0.7347014961212451,1.0032382444541952,0.8524881338922583
0.094,1075.3537203219998,1058.9490643076977,1083.1325522211166,1084.8226054476427,0.734718391714123,1.003240082859847,0.8524897333858164
0.095,1075.920478811016,1059.3919894296316,1083.5425682069488,1085.4435534105169,0.7347341531247671,1.003241702987168,0.8524911557306751
0.096,1076.480104763865,1059.828676843046,1083.946434743684,1086.0555231211115,0.7347488564355968,1.003243130548924,0.8524924203674331
0.097,1077.0327604397455,1060.2592775377934,1084.3443060534523,1086.659866369398,0.7347625726323295,1.0032443882579116,0.8524935446271868
0.098,1077.5786027909205,1060.683937351452,1084.7363309674265,1087.2569042824687,0.7347753679444939,1.0032454961726105,0.852494543957171
0.099,1078.1177836880645,1061.1027971952053,1085.1226531664431,1087.750789519208,0.7347873041633143,1.0032464720040508,0.8524954321227654
0.1,1078.6504501338914,1061.5159932676725,1085.5034114086068,1090.1776076441217,0.7347984389384487,1.003247331387513,0.8524962213881935
0.11,1083.6480563993207,1065.3634165292394,1089.03238243728,1095.4643491935954,0.7348759320820941,1.0032518849862413,0.8525005770729592
0.12,1088.1264313981762,1068.765916787484,1092.1280724602982,1100.2047865524132,0.734914597865427,1.0032531485136644,0.8525018997652651
0.13,1092.176351286748,1071.8058597041993,1094.8733641827148,1104.4971804644276,0.7349338885682781,1.0032534958653514,0.8525022977297425
0.14,1095.867223207298,1074.5454707905803,1097.330427142659,1108.4147676262344,0.7349435124037007,1.0032535906250928,0.8525024165576411
0.15,1099.2532338290707,1077.0327944419978,1099.5469447070811,1112.0126194634481,0.7349483134710251,1.0032536163109,0.8525024518126187
0.16,1102.3774480497311,1079.305622601513,1101.5601930932544,1115.3367940727344,0.7349507085627629,1.0032536232356506,0.8525024622159165
0.17,1105.2746236059716,1081.394165027942,1103.3997972294335,1118.4234541024814,0.7349519033866294,1.003253625093862,0.8525024652715985
0.18,1107.973194000862,1083.3229125748103,1105.0896429470504,1121.3013678006153,0.7349524994388614,1.003253625590503,0.8525024661655038
0.19,1110.4966970001933,1085.11196747212,1106.649234949945,1123.9964250274083,0.7349527967862275,1.003253625722763,0.8525024664261025
0.2,1112.8648240909615,1086.7780123877535,1108.0946810883777,1126.5272182587096,0.7349529451211976,1.0032536257578926,0.8525024665018321
0.21,1115.0942049882417,1088.3350290600192,1109.4394188040085,1128.6854171066548,0.7349530191196842,1.0032536257671725,0.8525024665238021
0.22,1117.1990032461283,1089.7948397721748,1110.6947600170242,1130.9484072899547,0.7349530560346138,1.0032536257696592,0.8525024665301402
0.23,1119.1913747974393,1091.1675212191706,1111.870305806725,1133.0923090208837,0.7349530744500163,1.0032536257702986,0.8525024665319592
0.24,1121.081825435484,1092.4617249523997,1112.9742661645907,1135.1269890163842,0.734953083636734,1.0032536257704692,0.8525024665324992
0.25,1122.8794927103938,1093.6849284170935,1114.0137095025195,1137.0621015318584,0.7349530882196247,1.0032536257705118,0.8525024665326484
0.26,1124.5923705480946,1094.8436337300054,1114.9947594728271,1138.9074492079387,0.7349530905058479,1.003253625770526,0.852502466532691
0.27,1126.227489944204,1095.9435266252303,1115.9227517770858,1140.669166034951,0.7349530916463545,1.003253625770526,0.8525024665326981
0.28,1127.7910656017264,1096.9896046987892,1116.8023602443377,1142.3551026341866,0.734953092215308,1.003253625770526,0.8525024665326981
0.29,1129.288615896761,1097.9862817445178,1117.6376990590566,1143.9698685965502,0.7349530924991365,1.003253625770526,0.8525024665327052
0.3,1130.725061760117,1098.9374732929791,1118.4324062995545,1145.356373525238,0.7349530926407275,1.003253625770526,0.8525024665327052
0.31,1132.104808747797,1099.8466672414115,1119.1897126995495,1146.849816029722,0.7349530927113614,1.003253625770526,0.8525024665327052
0.32,1133.4318155995973,1100.716982561282,1119.9124986291777,1148.2862317176425,0.7349530927465979,1.003253625770526,0.8525024665327052
0.33,1134.7096518563037,1101.551218398777,1120.6033416113555,1149.6700131893251,0.7349530927641761,1.003253625770526,0.8525024665327052
0.34,1135.9415465550608,1102.3518953785808,1121.264556179072,1151.0039359203495,0.7349530927729453,1.003253625770526,0.8525024665327052
0.35,1137.1304296021513,1103.1212905378538,1121.8982274927494,1152.2912799001342,0.7349530927773196,1.003253625770526,0.8525024665327052
0.36,1138.278967098924,1103.8614670235345,1122.5062398415669,1153.5348621096107,0.734953092779502,1.003253625770526,0.8525024665327052
0.37,1139.389591645586,1104.5742994591571,1123.0903009251815,1154.7381205229212,0.7349530927805905,1.003253625770526,0.8525024665327052
0.38,1140.464528451308,1105.2614957107023,1123.651962635637,1155.771461601545,0.7349530927811336,1.003253625770526,0.8525024665327052
0.39,1141.5058179245236,1105.9246156424297,1124.1926389210937,1156.9020145222219,0.7349530927814047,1.003253625770526,0.8525024665327052
0.4,1142.515335294746,1106.5650873442364,1124.7136212041576,1157.9982989352516,0.7349530927815398,1.003253625770526,0.8525024665327052
0.41,1143.4948077194294,1107.1842212251136,1125.2160917412923,1159.0625109928976,0.7349530927816073,1.003253625770526,0.8525024665327052
0.42,1144.445829250873,1107.7832222977167,1125.7011352409177,1160.094553218836,0.734953092781641,1.003253625770526,0.8525024665327052
0.43,1145.3698739747826,1108.3632009231185,1126.169749002547,1161.0982230394604,0.7349530927816577,1.003253625770526,0.8525024665327052
0.44,1146.268307580611,1108.925182239545,1126.6228517946888,1162.0740389274577,0.7349530927816659,1.003253625770526,0.8525024665327052
0.45,1147.1423975818,1109.4701144621065,1127.06129165305,1162.910838243894,0.7349530927816703,1.003253625770526,0.8525024665327052
0.46,1147.9933223695928,1109.998876210428,1127.4858527510503,1163.8371991378485,0.7349530927816721,1.003253625770526,0.8525024665327052
0.47,1148.8221792556958,1110.512282996412,1127.89726147047,1164.739245670235,0.7349530927816732,1.003253625770526,0.8525024665327052
0.48,1149.6299916355692,1111.011092983968,1128.2961917801313,1165.6179057030274,0.7349530927816739,1.003253625770526,0.8525024665327052
0.49,1150.4177153846017,1111.4960121156685,1128.6832700140528,1166.4750147722013,0.7349530927816741,1.003253625770526,0.8525024665327052
0.5,1151.1862445831118,1111.967698687249,1129.059079126831,1167.3102362089517,0.7349530927816743,1.003253625770526,0.8525024665327052
0.51,1151.9364166524765,1112.4267674391251,1129.4241624926094,1168.1262120611334,0.7349530927816743,1.003253625770526,0.8525024665327052
0.52,1152.6690169731771,1112.8737932242766,1129.7790273044536,1168.825065518706,0.7349530927816743,1.003253625770526,0.8525024665327052
0.53,1153.384783045881,1113.3093143035585,1130.124147622932,1169.6056849402337,0.7349530927816743,1.003253625770526,0.8525024665327052
0.54,1154.0844082484432,1113.7338353125156,1130.45996711595,1170.3671823238485,0.7349530927816743,1.003253625770526,0.8525024665327052
0.55,1154.7685452347534,1114.1478299378489,1130.7869015261656,1171.1128810958544,0.7349530927816743,1.003253625770526,0.8525024665327052
0.56,1155.4378090153875,1114.5517433366472,1131.1053408974738,1171.840906628822,0.7349530927816743,1.003253625770526,0.8525024665327052
0.57,1156.0927797549462,1114.9459943272088,1131.415651587905,1172.5544498466288,0.7349530927816743,1.003253625770526,0.8525024665327052
0.58,1156.7340053166008,1115.3309773765957,1131.7181780927729,1173.2525328039167,0.7349530927816743,1.003253625770526,0.8525024665327052
0.59,1157.362003580609,1115.7070644069213,1132.0132446988782,1173.8497651087087,0.7349530927816743,1.003253625770526,0.8525024665327052
0.6,1157.977264560334,1116.0746064396646,1132.301156987987,1174.5202908704073,0.7349530927816743,1.003253625770526,0.8525024665327052
0.61,1158.5802523364953,1116.4339350949567,1132.58220320557,1175.177192538912,0.7349530927816743,1.003253625770526,0.8525024665327052
0.62,1159.1714068279705,1116.7853639607758,1132.8566555088628,1175.8213421499615,0.7349530927816743,1.003253625770526,0.8525024665327052
0.63,1159.7511454153369,1117.1291898452344,1133.1247711066378,1176.4535723696497,0.7349530927816743,1.003253625770526,0.8525024665327052
0.64,1160.3198644315298,1117.4656939236138,1133.3867933016347,1177.072621344334,0.7349530927816743,1.003253625770526,0.8525024665327052
0.65,1160.8779405323749,1117.795142790486,1133.642952445335,1177.6802686769443,0.7349530927816743,1.003253625770526,0.8525024665327052
0.66,1161.4257319583603,1118.1177894260968,1133.8934668136708,1178.199516412983,0.7349530927816743,1.003253625770526,0.8525024665327052
0.67,1161.9635796977832,1118.4338740851797,1134.1385434113054,1178.785542383936,0.7349530927816743,1.003253625770526,0.8525024665327052
0.68,1162.4918085603188,1118.7436251154793,1134.3783787112718,1179.3621874495204,0.7349530927816743,1.003253625770526,0.8525024665327052
0.69,1163.01072816912,1119.0472597124858,1134.6131593360342,1179.928027427121,0.7349530927816743,1.003253625770526,0.8525024665327052
0.7,1163.5206338787093,1119.3449846161916,1134.8430626853817,1180.4836598337545,0.7349530927816743,1.003253625770526,0.8525024665327052
0.71,1164.021807625183,1119.636996755086,1135.068257515998,1181.0296551680876,0.7349530927816743,1.003253625770526,0.8525024665327052
0.72,1164.5145187145995,1119.9234838420566,1135.2889044770468,1181.4949848756812,0.7349530927816743,1.003253625770526,0.8525024665327052
0.73,1164.9990245548286,1120.2046249264088,1135.5051566056682,1182.0232424925998,0.7349530927816743,1.003253625770526,0.8525024665327052
0.74,1165.475571335635,1120.4805909057766,1135.717159785892,1182.5434089914067,0.7349530927816743,1.003253625770526,0.8525024665327052
0.75,1165.9443946613007,1120.7515450013454,1135.9250531741188,1183.0539168482758,0.7349530927816743,1.003253625770526,0.8525024665327052
0.76,1166.405720139676,1121.01764319946,1136.128969594015,1183.5572775314336,0.7349530927816743,1.003253625770526,0.8525024665327052
0.77,1166.8597639312002,1121.2790346624051,1136.329035903388,1184.051886078962,0.7349530927816743,1.003253625770526,0.8525024665327052
0.78,1167.3067332610833,1121.5358621108792,1136.5253733353693,1184.539189586976,0.7349530927816743,1.003253625770526,0.8525024665327052
0.79,1167.7468268975624,1121.7882621804454,1136.718097816,1184.9530401973846,0.7349530927816743,1.003253625770526,0.8525024665327052
0.8,1168.1802355988757,1122.036365754036,1136.907320260133,1185.4256920270977,0.7349530927816743,1.003253625770526,0.8525024665327052
0.81,1168.6071425313653,1122.2802982723958,1137.0931468473798,1185.891176976492,0.7349530927816743,1.003253625770526,0.8525024665327052
0.82,1169.0277236609004,1122.520180024177,1137.2756792796724,1186.349860407023,0.7349530927816743,1.003253625770526,0.8525024665327052
0.83,1169.4421481196289,1122.756126417255,1137.4550150218786,1186.8020924692225,0.7349530927816743,1.003253625770526,0.8525024665327052
0.84,1169.8505785498885,1122.988248232684,1137.6312475267673,1187.247187508788,0.7349530927816743,1.003253625770526,0.8525024665327052
0.85,1170.2531714269498,1123.2166518625995,1137.8044664455213,1187.624336562159,0.7349530927816743,1.003253625770526,0.8525024665327052
0.86,1170.6500773621322,1123.4414395332574,1137.9747578248769,1188.0578333157177,0.7349530927816743,1.003253625770526,0.8525024665327052
0.87,1171.0414413876892,1123.6627095142944,1138.1422042918905,1188.484098232157,0.7349530927816743,1.003253625770526,0.8525024665327052
0.88,1171.4274032247688,1123.8805563152166,1138.3068852272354,1188.9054674983824,0.7349530927816743,1.003253625770526,0.8525024665327052
0.89,1171.8080975356186,1124.095070870022,1138.4688769278666,1189.3201771635756,0.7349530927816743,1.003253625770526,0.8525024665327052
